text,index,section,completion
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,0,tweet,1
Do you think humans have the sense for recognizing impending doom? ,1,tweet,1
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,2,tweet,1
should I #start posting #photos?,3,tweet,1
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,4,tweet,1
#chirp look out for them Cars coming from the Wesszzz,5,tweet,1
Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,6,tweet,1
@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far . #venkysout,7,tweet,1
Need advice on how to get out of this rut!!!!  #needmotivation,8,tweet,1
"@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?",9,tweet,1
Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,10,tweet,1
I think they may be #offended,11,tweet,1
So is texting a guy 'I'm ready for sex now' considered flirting?' ,12,tweet,1
"Does Bret have a point? Cena, Balor, sting...",13,tweet,1
Congress attended by midterm liveliness differently constraints: qmiv,14,tweet,1
"@_haye_ optimism is he'll lose, that's actually a compromise :P",15,tweet,1
@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,16,tweet,1
"If her legs aren't shaking, you're not doing it right.",17,tweet,1
Hannah: 'This week on Survivor: Find out who is more buoyant. Gen X or Millenials!' #survivor,18,tweet,1
"@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",19,tweet,1
"Coworker: 'That happened to a friend of mine once, but with guns instead of babies.' #workplace ",20,tweet,1
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,21,tweet,1
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,22,tweet,1
I base when it's going to rain here off of brills snap stories.,23,tweet,1
"@jmomahony thank you for your support, but it was not an attempt at levity.",24,tweet,1
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,25,tweet,1
@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,26,tweet,1
@JamieRJN She's all over the political map in her relentless pursuit of power.,27,tweet,1
"2,034 words today #amwriting #horror #novel 42,080 'Magnitude' total so far. 25Kish to go.",28,tweet,1
"We fear not the truth, even if it be gloomy, but its counterfeit.- Berl Katznelson",29,tweet,1
okay false alarm it's working again,30,tweet,1
"I truly feel like science has the ability to make a milk out of anything ... cashew milk, hemp milk, pine nut milk, dandelion milk",31,tweet,1
@davidplotz @Commentary She writes with sort of the same playful cynicism that you do! :),32,tweet,1
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,33,tweet,1
"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. ",34,tweet,1
Love takes off the masks that we fear we cannot live without and know we cannot live within. - James A. Baldwin,35,tweet,1
"@MarkedMurderer Orion's eyes narrowed as he gazed down at the girl, ice cold blues meeting a softer than usual green. His instinct told him-",36,tweet,1
Now ...what to do for the next hour while waiting for #OurGirl to start @BBCOne ?!,37,tweet,1
"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",38,tweet,1
"There is no dark side in the moon. In fact, it's all dark.'\nGerry O'Driscoll at the end of 'The Dark side of the Moon'",39,tweet,1
I wonder what would happen if I were to tell some people the truth #savage #uhoh ,40,tweet,1
I wish the next madden has a story mode too. Just like Fifa 17 ,41,tweet,1
"I need to think of a new Avatar for Fire Emblem Revelation as I might start playing it soon, any ideas for names? What gender do I choose",42,tweet,1
@SandraTXAS @6bird4 @CajunKangaroo @justanavywife please. Or you could be clouded by your passion. Emotion leads you from the truth.,43,tweet,1
Let's get drunk and tell each other things we're afraid to say when we're sober.,44,tweet,1
You are NOT your struggle or You are NOT your affliction! #YouAreStrong &amp; #YouAreArising above it all!,45,tweet,1
No quite sure how Craig Gordon's stayed on the park there !!,46,tweet,1
@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,47,tweet,1
I hope my hustle don't offend nobody,48,tweet,1
@VosachResrus ^'ll just #wobble carry you #sink,49,tweet,1
Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,50,tweet,1
My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,51,tweet,1
Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE,52,tweet,1
I need all your attention! If I don't I'll pout..,53,tweet,1
"@samvirwin fancy! I have some of those and I have never put them up, I should do that. Also, I vote jaunty angles then no one will judge",54,tweet,1
Changing my hair again ,55,tweet,1
Her charm is liveliness but this is also her weakness.,56,tweet,1
"After Nawaz Sharif's speech on terrorism, Kejriwal is expected to talk on Governance.",57,tweet,1
Apparently all the money in the world can't buy a single person to tell you not give your own waist a hearty two-handed pinch while onstage.,58,tweet,1
"Symmetry is Key, everything must be aesthetically pleasing as possible, that is why I hold you twin pistols. #DeathTheKid #Bot",59,tweet,1
